Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
2020-06-25 15:48:50 IST,24.57,91.93,10,2.6[ML],"31km NW of Dharmanagar, Tripura, India"
2020-06-26 01:59:39 IST,35.72,82.53,10,4.9[Mb],"470km NE of Hanley, Jammu & Kashmir, India"
2020-06-26 02:35:14 IST,36.1,82.43,10,5.7[Mb],"491km ENE of Leh, Laddakh, India"
2020-06-26 02:47:08 IST,35.38,82.44,10,4.8[ML],"438km NE of Hanley, Jammu & Kashmir, India"
2020-06-26 04:21:53 IST,35.1,82.16,10,4.0[ML],"398km NE of Hanley, Jammu & Kashmir, India"
2020-06-26 04:37:55 IST,35.58,82.73,10,4.2[ML],"472km NE of Hanley, Jammu & Kashmir, India"
2020-06-26 07:00:55 IST,35.97,82.82,10,4.5[ML],"508km NE of Hanley, Jammu & Kashmir, India"
2020-06-26 15:32:36 IST,28.82,76.75,10,3.0[ML],"16km ESE of Rohtak, Haryana, India"
2020-06-26 18:57:14 IST,25.42,89.36,5,3.2[ML],"85km W of Tura, Meghalaya, India"
2020-06-26 20:15:04 IST,36.49,74.87,28,4.5[ML],"243km NNW of Kargil, Laddakh, India"
2020-06-26 21:35:45 IST,20.84,94.38,80,4.1[ML],"201km SW of Burma, Myanmar"
2020-06-27 10:03:46 IST,36.78,69.35,60,4.5[ML],"112km WSW of Fayzabad, Afghanistan"
2020-06-27 12:32:23 IST,35.79,82.55,7,4.5[ML],"477km NE of Hanley, Jammu & Kashmir, India"
2020-06-27 13:32:31 IST,24.37,94.44,100,3.1[MW],"62km S of Ukhrul, Manipur, India"
2020-06-27 16:51:29 IST,37.11,71.73,214,4.0[ML],"104km E of Fayzabad, Afghanistan"
2020-06-27 21:11:23 IST,28.88,76.57,5,2.7[MW],"4km WSW of Rohtak, Haryana, India"
2020-06-28 08:56:22 IST,12.79,92.87,45,4.1[ML],"54km SSW of Diglipur, Andaman and Nicobar island, India"
2020-06-28 11:24:36 IST,24.58,94.61,36,4.1[ML],"41km SSE of Ukhrul, Manipur, India"
2020-06-28 12:24:59 IST,25.75,90.32,10,3.7[ML],"28km NNE of Tura, Meghalaya, India"
2020-06-28 14:49:34 IST,25.17,94.48,59,2.8[ML],"7km NE of Shirui, Manipur, India"
2020-06-28 18:59:04 IST,36.41,71.36,100,3.8[ML],"105km SE of Fayzabad, Afghanistan"
2020-06-29 10:19:08 IST,36.8,72.3,340,3.6[ML],"159km E of Fayzabad, Afghanistan"
2020-06-29 12:56:00 IST,36.52,71.17,250,3.8[ML],"84km SE of Fayzabad, Afghanistan"
2020-06-29 18:23:21 IST,37.12,71.13,97,4.3[ML],"51km E of Fayzabad, Afghanistan"
2020-06-29 21:33:27 IST,39.3,70.8,86,4.1[MW],"192km ENE of Dushanbe, Tajikistan"
2020-06-30 05:46:04 IST,28.93,76.65,22,2.4[ML],"5km NE of Rohtak, Haryana, India"
2020-06-30 08:56:55 IST,33.15,75.99,5,4.0[ML],"100km E of Katra, Jammu and Kashmir, India"
2020-06-30 18:43:33 IST,38.9,76.21,10,3.9[ML],"462km SSE of Bishkek, Kyrgyzstan"
2020-06-30 21:53:52 IST,37.3,72.4,20,3.4[ML],"165km E of Fayzabad, Afghanistan"
2020-06-30 23:32:26 IST,33.16,76.3,5,4.5[ML],"104km N of Dharamshala, Himachal Pradesh, India"
2020-07-01 02:57:53 IST,25.52,91.56,8,2.9[ML],"32km NNW of Cherrapunjee, Meghalaya, India"
2020-07-01 04:08:21 IST,26.33,92.5,19,2.6[MW],"46km SW of Tezpur, Assam, India"
2020-07-01 10:13:02 IST,37.29,71.75,180,3.8[MW],"108km ENE of Fayzabad, Afghanistan"
2020-07-02 03:07:13 IST,37.15,71.34,200,4.1[ML],"70km E of Fayzabad, Afghanistan"
2020-07-02 09:53:18 IST,37.6,71.71,150,3.8[ML],"116km ENE of Fayzabad, Afghanistan"
2020-07-02 10:57:48 IST,32.73,69.42,33,3.9[ML],"203km S of Kabul , Afghanistan"
2020-07-02 13:10:38 IST,33.4,75.89,5,4.0[ML],"86km SE of Pahalgam, Jammu and Kashmir, India"
2020-07-02 14:02:10 IST,33,75.9,12,3.3[MW],"90km E of Katra, Jammu and Kashmir, India"
2020-07-03 04:51:03 IST,23.96,65.69,10,3.6[ML],"385km WNW of Dwarka, Gujarat, India"
2020-07-03 14:35:42 IST,23.7,93.42,10,4.2[MW],"28km NNE of Champhai, Mizoram, India"
2020-07-03 19:00:47 IST,27.98,76.65,10,4.4[ML],"64km SW of Gurugram, Haryana, India"
2020-07-03 19:59:45 IST,36.35,70.73,160,4.0[ML],"84km S of Fayzabad, Afghanistan"
2020-07-04 15:22:54 IST,39.47,70.54,10,5.3[MS],"182km NE of Dushanbe, Tajikistan"
2020-07-04 17:42:13 IST,35.84,82.24,10,4.3[MW],"462km NE of Hanley, Jammu & Kashmir, India"
2020-07-05 03:37:30 IST,38.2,74.24,254,4.6[ML],"347km ENE of Fayzabad, Afghanistan"
2020-07-05 16:02:48 IST,36.26,71.6,187,4.3[ML],"132km SE of Fayzabad, Afghanistan"
2020-07-05 17:11:05 IST,22.95,70.39,18,3.4[MW],"83km NNW of Rajkot, Gujarat, India"
2020-07-05 17:26:30 IST,22.9,93.46,10,4.5[MW],"63km SSE of Champhai, Mizoram, India"
2020-07-06 07:28:52 IST,38.22,78.1,10,3.6[ML],"444km NNE of Kargil, Laddakh, India"
