Origin_Time,Latitude,Longitude,Depth,Magnitude,Location
1997-03-20 14:20:40 IST,30.12,68,33,5.5,"506km SSW of Kabul , Afghanistan"
1997-03-20 14:33:13 IST,30.14,67.96,33,3.6,"504km SSW of Kabul , Afghanistan"
1997-03-20 15:05:39 IST,30.12,68.2,33,4.6,"502km S of Kabul , Afghanistan"
1997-03-20 18:16:19 IST,30.9,68.11,33,4.7,"419km SSW of Kabul , Afghanistan"
1997-03-20 20:25:32 IST,17.20,73.60,0,4,"87km NW of Kolhapur, Maharashtra, India"
1997-03-20 21:29:34 IST,30.5,67.97,33,3.9,"465km SSW of Kabul , Afghanistan"
1997-03-21 00:39:58 IST,30.13,67.99,33,4.4,"505km SSW of Kabul , Afghanistan"
1997-03-21 10:20:48 IST,30.12,67.95,33,4.4,"507km SSW of Kabul , Afghanistan"
1997-03-22 02:34:48 IST,32.92,84.61,33,4.9,"527km E of Hanley, Jammu & Kashmir, India"
1997-03-22 11:49:52 IST,30.1,67.93,33,4.8,"509km SSW of Kabul , Afghanistan"
1997-03-22 18:06:50 IST,29.76,67.98,33,4.3,"545km SSW of Kabul , Afghanistan"
1997-03-22 18:23:50 IST,30.25,67.78,33,3.7,"497km SSW of Kabul , Afghanistan"
1997-03-23 00:59:26 IST,38.51,73.28,100,3.2,"286km NE of Fayzabad, Afghanistan"
1997-03-23 02:44:39 IST,30.17,87.80,33,3.4,"290km NNW of Lachung, Sikkim, India"
1997-03-23 02:46:04 IST,29.89,88.15,33,4.4,"251km NNW of Lachung, Sikkim, India"
1997-03-23 03:10:50 IST,29.94,67.59,33,3.7,"535km SSW of Kabul , Afghanistan"
1997-03-23 14:58:54 IST,36.34,71.29,100,2.8,"107km SE of Fayzabad, Afghanistan"
1997-03-24 16:17:40 IST,10.55,92.56,33,4.2,"120km S of Portblair, Andaman and Nicobar island, India"
1997-03-24 20:05:53 IST,35.38,78.30,33,4.6,"151km NNE of Leh, Laddakh, India"
1997-03-25 02:58:06 IST,27.89,84.99,33,4.5,"38km WNW of Kathmandu, Nepal"
1997-03-25 02:58:07 IST,26.80,85.30,0,4.8,"76km N of Muzaffarpur, Bihar, India"
1997-03-26 02:43:09 IST,36.8,70.81,133,4.1,"40km SE of Fayzabad, Afghanistan"
1997-03-26 05:31:18 IST,36.22,70.65,222,3.8,"98km S of Fayzabad, Afghanistan"
1997-03-27 00:35:48 IST,37.51,72.24,185,3.4,"156km ENE of Fayzabad, Afghanistan"
1997-03-27 23:18:40 IST,30,69.70,33,4,"414km WNW of Bikaner, Rajasthan, India"
1997-03-27 23:18:41 IST,35.35,78.25,33,4.6,"146km NNE of Leh, Laddakh, India"
1997-03-28 21:45:14 IST,36.30,70.40,226,3.6,"90km S of Fayzabad, Afghanistan"
1997-03-29 03:22:25 IST,30.7,67.98,33,4.1,"443km SSW of Kabul , Afghanistan"
1997-03-29 19:32:01 IST,35.4,78.35,33,3.4,"155km NNE of Leh, Laddakh, India"
1997-03-29 23:13:41 IST,29.58,68.64,33,4.3,"487km WNW of Bikaner, Rajasthan, India"
1997-03-31 05:11:46 IST,36.21,71.1,150,3.2,"110km SSE of Fayzabad, Afghanistan"
1997-04-01 00:42:49 IST,39.64,76.65,33,4.6,"399km SSE of Bishkek, Kyrgyzstan"
1997-04-01 02:10:38 IST,32.20,93.91,33,3.9,"469km NNW of Pangin, Arunachal Pradesh, India"
1997-04-03 00:12:07 IST,39.46,76.70,33,4.5,"419km SSE of Bishkek, Kyrgyzstan"
1997-04-03 00:43:39 IST,28.10,77.14,33,2.6,"38km SSW of Faridabad, Haryana, India"
1997-04-03 04:19:49 IST,39.55,76.29,33,2.9,"396km SSE of Bishkek, Kyrgyzstan"
1997-04-04 02:11:43 IST,39.50,76.70,33,4.4,"415km SSE of Bishkek, Kyrgyzstan"
1997-04-04 06:33:32 IST,39.70,76.30,33,3.8,"381km SSE of Bishkek, Kyrgyzstan"
1997-04-04 08:12:00 IST,30.60,69.40,33,4.7,"440km S of Kabul , Afghanistan"
1997-04-04 15:26:43 IST,30.20,67.90,33,3.8,"499km SSW of Kabul , Afghanistan"
1997-04-04 15:38:41 IST,25.50,90.80,33,3.8,"59km E of Tura, Meghalaya, India"
1997-04-05 23:01:51 IST,30.10,86.10,33,4.5,"275km NNE of Kathmandu, Nepal"
1997-04-06 05:16:29 IST,39.50,76.90,33,5.4,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-06 05:36:30 IST,39.50,76.80,33,4.4,"419km SSE of Bishkek, Kyrgyzstan"
1997-04-06 07:50:29 IST,39.40,76.70,33,4.5,"425km SSE of Bishkek, Kyrgyzstan"
1997-04-06 10:06:35 IST,39.50,76.91,33,5.6,"423km SSE of Bishkek, Kyrgyzstan"
1997-04-06 10:39:29 IST,39.40,76.90,33,4.4,"432km SSE of Bishkek, Kyrgyzstan"
1997-04-06 12:27:58 IST,39.60,76.90,33,4.2,"412km SSE of Bishkek, Kyrgyzstan"
1997-04-06 16:31:57 IST,39.50,76.80,33,4.5,"419km SSE of Bishkek, Kyrgyzstan"
1997-04-06 18:15:38 IST,21.10,94.40,87,4.5,"183km WSW of Burma, Myanmar"
1997-04-06 18:28:18 IST,39.50,76.90,33,3.9,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-06 20:44:09 IST,39.50,77.10,33,4.9,"430km SSE of Bishkek, Kyrgyzstan"
1997-04-07 18:30:42 IST,27.40,86.50,33,4.4,"121km ESE of Kathmandu, Nepal"
1997-04-08 02:52:54 IST,39.40,76.70,33,4.3,"425km SSE of Bishkek, Kyrgyzstan"
1997-04-08 03:31:38 IST,37.90,72.90,171,3.7,"225km ENE of Fayzabad, Afghanistan"
1997-04-08 06:59:07 IST,39.50,76.60,33,3.3,"411km SSE of Bishkek, Kyrgyzstan"
1997-04-08 08:42:55 IST,29.60,68,33,3.6,"546km WNW of Bikaner, Rajasthan, India"
1997-04-08 09:04:19 IST,39.60,76.90,33,4.3,"412km SSE of Bishkek, Kyrgyzstan"
1997-04-08 18:41:46 IST,39.50,76.90,33,4.3,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-09 09:32:43 IST,39.50,76.90,33,4.5,"422km SSE of Bishkek, Kyrgyzstan"
1997-04-09 15:19:29 IST,36.40,71,172,4,"87km SSE of Fayzabad, Afghanistan"
1997-04-09 23:31:51 IST,36.60,71.10,104,4.3,"74km SE of Fayzabad, Afghanistan"
1997-04-10 08:28:35 IST,39.40,76.80,33,4.5,"429km SSE of Bishkek, Kyrgyzstan"
1997-04-10 08:31:50 IST,39.60,76.80,33,4.4,"409km SSE of Bishkek, Kyrgyzstan"
1997-04-11 06:27:39 IST,25.80,67.60,33,4.3,"419km NNW of Dwarka, Gujarat, India"
1997-04-11 09:03:47 IST,39.50,76.70,33,4.4,"415km SSE of Bishkek, Kyrgyzstan"
